Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume ('000),Turnover ('000),Lot Size
2017-08-04,12.24,0.08,0.658,12.2,12.24,,12.28,12.14,12.16,2062.0,25187.0,1000.0
2017-08-03,12.16,-0.04,-0.328,12.14,12.16,,12.26,12.14,12.2,2170.0,26440.0,1000.0
2017-08-02,12.2,-0.02,-0.164,12.18,12.2,,12.32,12.12,12.22,4882.0,59624.0,1000.0
2017-08-01,12.22,-0.02,-0.163,12.2,12.22,,12.5,12.2,12.24,8541.0,105094.0,1000.0
2017-07-31,12.24,-0.02,-0.163,12.22,12.24,,12.3,12.16,12.26,4109.0,50140.0,1000.0
2017-07-28,12.26,0.1,0.822,12.26,12.28,,12.32,12.06,12.16,7178.0,87426.0,1000.0
2017-07-27,12.16,0.12,0.997,12.14,12.16,,12.22,12.0,12.04,4187.0,50771.0,1000.0
2017-07-26,12.04,-0.08,-0.66,12.04,12.06,,12.2,12.0,12.12,5336.0,64307.0,1000.0
2017-07-25,12.12,0.0,0.0,12.12,12.14,,12.16,12.02,12.12,3768.0,45622.0,1000.0
2017-07-24,12.12,-0.18,-1.463,12.12,12.16,,12.36,12.04,12.3,8362.0,101868.0,1000.0
2017-07-21,12.3,-0.2,-1.6,12.28,12.3,,12.42,12.16,12.5,4696.0,57712.0,1000.0
2017-07-20,12.5,0.08,0.644,12.5,12.52,,12.5,12.1,12.42,9669.0,118678.0,1000.0
2017-07-19,12.42,-0.08,-0.64,12.42,12.44,,12.48,12.22,12.5,10100.0,124471.0,1000.0
2017-07-18,12.5,-0.08,-0.636,12.48,12.5,,12.6,12.34,12.58,3880.0,48283.0,1000.0
2017-07-17,12.58,-0.14,-1.101,12.56,12.58,,12.72,12.5,12.72,3780.0,47562.0,1000.0
2017-07-14,12.72,-0.02,-0.157,12.7,12.72,,12.74,12.58,12.74,4664.0,59069.0,1000.0
2017-07-13,12.74,0.04,0.315,12.74,12.76,,12.88,12.7,12.7,4053.0,51823.0,1000.0
2017-07-12,12.7,0.04,0.316,12.7,12.72,,12.74,12.58,12.66,3757.0,47549.0,1000.0
2017-07-11,12.66,-0.08,-0.628,12.64,12.66,,12.96,12.58,12.74,9666.0,123368.0,1000.0
2017-07-10,12.74,0.42,3.409,12.72,12.74,,12.96,12.32,12.32,10824.0,137268.0,1000.0
2017-07-07,12.32,0.06,0.489,12.3,12.32,,12.42,12.24,12.26,2250.0,27715.0,1000.0
2017-07-06,12.26,0.24,1.997,12.26,12.28,,12.36,12.08,12.02,4873.0,59571.0,1000.0
2017-07-05,12.02,0.02,0.167,12.02,12.04,,12.08,11.98,12.0,2821.0,33920.0,1000.0
2017-07-04,12.0,-0.12,-0.99,12.0,12.02,,12.1,11.92,12.12,7862.0,94312.0,1000.0
2017-07-03,12.12,0.0,0.0,12.1,12.12,,12.2,12.0,12.12,4895.0,59327.0,1000.0
2017-06-30,12.12,0.06,0.498,12.12,12.14,,12.28,11.88,12.06,9461.0,114437.0,1000.0
2017-06-29,12.06,-0.02,-0.166,12.06,12.08,,12.18,12.02,12.08,4663.0,56401.0,1000.0
2017-06-28,12.08,-0.1,-0.821,12.06,12.08,,12.26,11.96,12.18,7618.0,92113.0,1000.0
2017-06-27,12.18,0.06,0.495,12.18,12.2,,12.32,12.0,12.12,5697.0,69486.0,1000.0
2017-06-26,12.12,0.08,0.664,12.12,12.14,,12.18,12.02,12.04,2846.0,34507.0,1000.0
2017-06-23,12.04,0.02,0.166,12.02,12.04,,12.08,11.92,12.02,4077.0,48974.0,1000.0
2017-06-22,12.02,-0.02,-0.166,12.02,12.04,,12.1,11.98,12.04,4997.0,60134.0,1000.0
2017-06-21,12.04,-0.18,-1.473,12.04,12.08,,12.3,11.92,12.22,7007.0,84505.0,1000.0
2017-06-20,12.22,-0.18,-1.452,12.2,12.22,,12.4,12.18,12.4,6139.0,75086.0,1000.0
2017-06-19,12.4,0.02,0.162,12.4,12.44,,12.58,12.32,12.38,5125.0,63758.0,1000.0
2017-06-16,12.38,0.0,0.0,12.36,12.38,,12.48,12.2,12.38,11161.0,137901.0,1000.0
2017-06-15,12.38,-0.02,-0.161,12.36,12.38,,12.48,12.34,12.4,6824.0,84700.0,1000.0
2017-06-14,12.4,0.08,0.649,12.38,12.4,,12.68,12.32,12.32,10756.0,134536.0,1000.0
2017-06-13,12.32,-0.08,-0.645,12.32,12.36,,12.46,12.26,12.4,7306.0,90309.0,1000.0
2017-06-12,12.4,-0.22,-1.743,12.38,12.4,,12.62,12.3,12.62,8175.0,101506.0,1000.0
2017-06-09,12.62,0.08,0.638,12.6,12.62,,12.68,12.42,12.54,18065.0,227224.0,1000.0
2017-06-08,12.54,0.74,6.271,12.54,12.56,,12.7,12.02,11.8,23952.0,299510.0,1000.0
2017-06-07,11.8,-0.06,-0.506,11.78,11.8,,11.88,11.7,11.86,5438.0,64062.0,1000.0
2017-06-06,11.86,0.26,2.241,11.84,11.86,,11.9,11.56,11.6,7713.0,90659.0,1000.0
2017-06-05,11.6,-0.02,-0.172,11.58,11.6,,11.72,11.52,11.62,4590.0,53349.0,1000.0
2017-06-02,11.62,0.02,0.172,11.62,11.64,,11.68,11.46,11.6,8521.0,98705.0,1000.0
2017-06-01,11.6,0.2,1.754,11.58,11.6,,11.76,11.4,11.4,20875.0,240818.0,1000.0
2017-05-31,11.4,-0.3,-2.564,11.4,11.42,,11.76,11.38,11.7,109536.0,1251409.0,1000.0
2017-05-29,11.7,-0.02,-0.171,11.68,11.7,,11.84,11.54,11.72,7517.0,87894.0,1000.0
2017-05-26,11.72,-0.22,-1.843,11.72,11.74,,11.94,11.66,11.94,10221.0,120061.0,1000.0
2017-05-25,11.94,-0.24,-1.97,11.92,11.94,,12.18,11.72,12.18,10194.0,121497.0,1000.0
2017-05-24,12.18,0.7,6.098,12.16,12.18,,12.18,11.48,11.48,22732.0,271472.0,1000.0
2017-05-22,11.58,0.26,2.297,11.56,11.58,,11.74,11.38,11.32,8960.0,103742.0,1000.0
2017-05-19,11.32,0.0,0.0,11.32,11.34,,11.4,11.22,11.32,7203.0,81555.0,1000.0
2017-05-18,11.32,0.22,1.982,11.3,11.32,,11.48,10.9,11.1,17427.0,197850.0,1000.0
2017-05-17,11.1,0.52,4.915,11.1,11.12,,11.28,10.5,10.58,23549.0,259176.0,1000.0
2017-05-16,10.58,-0.2,-1.855,10.56,10.58,,10.6,10.2,10.78,26049.0,272303.0,1000.0
2017-05-15,10.78,-0.12,-1.101,10.78,10.8,,10.94,10.76,10.9,10120.0,109635.0,1000.0
2017-05-12,10.9,-0.06,-0.547,10.88,10.9,,11.0,10.88,10.96,4793.0,52356.0,1000.0
2017-05-11,10.96,0.08,0.735,10.96,10.98,,11.0,10.86,10.88,5487.0,60015.0,1000.0
2017-05-10,10.88,-0.26,-2.334,10.86,10.88,,11.18,10.86,11.14,9722.0,106625.0,1000.0
2017-05-09,11.14,0.04,0.36,11.14,11.16,,11.18,11.02,11.1,3808.0,42262.0,1000.0
2017-05-08,11.1,-0.04,-0.359,11.08,11.1,,11.2,11.02,11.14,2181.0,24191.0,1000.0
2017-05-05,11.14,-0.02,-0.179,11.12,11.14,,11.22,11.06,11.16,3219.0,35793.0,1000.0
2017-05-04,11.16,0.0,0.0,11.14,11.16,,11.24,11.04,11.16,2015.0,22466.0,1000.0
2017-05-02,11.16,-0.04,-0.357,11.16,11.18,,11.4,11.16,11.2,4206.0,47113.0,1000.0
2017-04-28,11.2,-0.18,-1.582,11.18,11.2,,11.44,11.16,11.38,5284.0,59476.0,1000.0
2017-04-27,11.38,0.14,1.246,11.36,11.38,,11.38,11.12,11.24,4725.0,53547.0,1000.0
2017-04-26,11.24,0.0,0.0,11.24,11.26,,11.34,11.16,11.24,7479.0,84193.0,1000.0
2017-04-25,11.24,0.02,0.178,11.24,11.26,,11.3,11.2,11.22,9514.0,106836.0,1000.0
2017-04-24,11.22,0.18,1.63,11.22,11.24,,11.36,10.92,11.04,6838.0,76592.0,1000.0
2017-04-21,11.04,0.24,2.222,11.02,11.04,,11.06,10.78,10.8,4679.0,51577.0,1000.0
2017-04-20,10.8,-0.06,-0.552,10.78,10.8,,10.84,10.72,10.86,4455.0,48020.0,1000.0
2017-04-19,10.86,-0.04,-0.367,10.86,10.88,,11.18,10.8,10.9,6195.0,67230.0,1000.0
2017-04-18,10.9,-0.04,-0.366,10.9,10.92,,10.98,10.9,10.94,2242.0,24571.0,1000.0
2017-04-13,10.94,0.02,0.183,10.94,10.96,,11.3,10.86,10.92,9455.0,104661.0,1000.0
2017-04-12,10.92,-0.06,-0.546,10.92,10.94,,11.0,10.9,10.98,4294.0,46940.0,1000.0
2017-04-11,10.98,-0.18,-1.613,10.98,11.0,,11.14,10.72,11.16,14041.0,153759.0,1000.0
2017-04-10,11.16,-0.08,-0.712,11.16,11.18,,11.38,11.12,11.24,7032.0,78967.0,1000.0
2017-04-07,11.24,-0.02,-0.178,11.24,11.26,,11.28,11.12,11.26,5620.0,62955.0,1000.0
2017-04-06,11.26,-0.06,-0.53,11.26,11.28,,11.34,11.1,11.32,6076.0,68029.0,1000.0
2017-04-05,11.32,-0.04,-0.352,11.32,11.36,,11.42,11.32,11.36,6842.0,77828.0,1000.0
2017-04-03,11.36,0.08,0.709,11.36,11.38,,11.38,11.28,11.28,2862.0,32478.0,1000.0
2017-03-31,11.28,0.04,0.356,11.28,11.3,,11.38,11.26,11.24,4489.0,50662.0,1000.0
2017-03-30,11.24,-0.06,-0.531,11.24,11.26,,11.38,11.22,11.3,4109.0,46269.0,1000.0
2017-03-29,11.3,0.1,0.893,11.3,11.32,,11.42,11.26,11.2,8006.0,90510.0,1000.0
2017-03-28,11.2,0.02,0.179,11.2,11.22,,11.28,11.14,11.18,4956.0,55543.0,1000.0
2017-03-27,11.18,0.1,0.887,11.18,11.2,,11.28,11.12,11.28,5282.0,59246.0,1000.0
2017-03-24,11.28,0.28,2.545,11.28,11.3,,11.34,10.9,11.0,18221.0,204011.0,1000.0
2017-03-23,11.0,0.02,0.181,11.0,11.02,,11.1,10.96,11.02,9462.0,104225.0,1000.0
2017-03-22,11.02,0.34,2.993,11.02,11.04,,11.38,10.82,11.36,18444.0,203546.0,1000.0
2017-03-21,11.36,0.16,1.429,11.34,11.36,,11.48,11.16,11.2,9171.0,104285.0,1000.0
2017-03-20,11.2,0.08,0.709,11.18,11.2,,11.32,11.06,11.28,8028.0,89826.0,1000.0
2017-03-17,11.28,0.16,1.439,11.26,11.28,,11.4,11.12,11.12,12531.0,141151.0,1000.0
2017-03-16,11.12,0.32,2.797,11.1,11.12,,11.4,11.08,11.44,16652.0,186275.0,1000.0
2017-03-15,11.44,0.16,1.379,11.42,11.44,7.5,11.86,10.8,11.6,25780.0,291742.0,1000.0
2017-03-14,11.6,0.1,0.87,11.58,11.6,7.61,11.72,11.48,11.5,5103.0,59291.0,1000.0
2017-03-13,11.5,0.0,0.0,11.5,11.52,7.54,11.56,11.44,11.5,4486.0,51639.0,1000.0
2017-03-10,11.5,0.08,0.691,11.5,11.52,7.54,11.64,11.44,11.58,3660.0,42103.0,1000.0
2017-03-09,11.58,0.2,1.698,11.56,11.58,7.59,11.72,11.42,11.78,5282.0,60831.0,1000.0
2017-03-08,11.78,0.18,1.505,11.76,11.78,7.72,11.92,11.66,11.96,4904.0,57698.0,1000.0
2017-03-07,11.96,0.16,1.356,11.94,11.96,7.84,11.98,11.76,11.8,17074.0,203521.0,1000.0
2017-03-06,11.8,0.46,4.056,11.8,11.82,7.74,12.06,11.38,11.34,24658.0,292256.0,1000.0
2017-03-03,11.34,0.08,0.701,11.34,11.36,7.44,11.4,11.26,11.42,11730.0,132912.0,1000.0
2017-03-02,11.42,0.08,0.705,11.4,11.42,7.49,11.46,11.34,11.34,6689.0,76253.0,1000.0
2017-03-01,11.34,0.06,0.526,11.34,11.36,7.44,11.44,11.32,11.4,6352.0,72275.0,1000.0
2017-02-28,11.4,0.06,0.529,11.38,11.4,7.47,11.44,11.3,11.34,6212.0,70768.0,1000.0
2017-02-27,11.34,0.08,0.701,11.32,11.34,7.44,11.42,11.28,11.42,3755.0,42551.0,1000.0
2017-02-24,11.42,0.02,0.175,11.42,11.44,7.49,11.46,11.18,11.4,5685.0,64413.0,1000.0
2017-02-23,11.4,0.1,0.885,11.38,11.4,7.47,11.42,11.24,11.3,5181.0,58824.0,1000.0
2017-02-22,11.3,0.02,0.177,11.3,11.32,7.41,11.38,11.24,11.32,6244.0,70541.0,1000.0
2017-02-21,11.32,0.14,1.252,11.32,11.34,7.42,11.42,11.18,11.18,12886.0,146170.0,1000.0
2017-02-20,11.18,0.04,0.359,11.18,11.2,7.33,11.2,11.04,11.14,4176.0,46485.0,1000.0
